url,status,state,parent,failureDetails
http://https:durable.co/ai-website-builder,0,BROKEN,https://www.durable.co/blog/godaddy-alternatives,
https://fairdinkumit.durable.co/,0,BROKEN,https://www.durable.co/blog/ai-website-builder-for-computer-repair,
https://reddirectpcs.durable.co/,0,BROKEN,https://www.durable.co/blog/ai-website-builder-for-cleaning-companies,
https://queencleaning.durable.co/,0,BROKEN,https://www.durable.co/blog/ai-website-builder-for-cleaning-companies,
https://alliancedetailing.durable.co/,0,BROKEN,https://www.durable.co/blog/ai-website-builder-for-car-detailing,
https://inboxtosocial.durable.co/,0,BROKEN,https://www.durable.co/blog/ai-website-builder-for-writers,
https://admiskovic.durable.co/,0,BROKEN,https://www.durable.co/blog/ai-website-builder-for-car-detailing,
https://decoussama.durable.co/,0,BROKEN,https://www.durable.co/blog/ai-website-builder-for-interior-designers,
https://ltbdesigns.durable.co/,0,BROKEN,https://www.durable.co/blog/ai-website-builder-for-interior-designers,
https://virtuousbookkeeping.durable.co/,0,BROKEN,https://www.durable.co/blog/ai-website-builder-for-bookkeepers,
https://lafridamichoacana.durable.co/,0,BROKEN,https://www.durable.co/blog/one-million-ai-websites,
https://help.durable.co/en-US/index-your-website-in-google-search-console-(seo)-285914,404,BROKEN,https://www.durable.co/blog/how-to-get-your-business-on-page-one-google,
https://mento.durable.co/,0,BROKEN,https://www.durable.co/blog/ai-website-builder-for-video-production,
